"id";"label"
"1";"chicken"
"2";"beef"
"3";"pork"
"4";"fish"
"5";"lamb"
"6";"vegetarian"
"7";"vegan"
"8";"breakfast"
"9";"drink"
"10";"soupstew"
"11";"salad"
"12";"appetizer"
"13";"sandwich"
"14";"mexican"
"15";"asian"
"16";"middleeast"
"17";"dessert"
"18";"bread"
"19";"vegetable"
"20";"cookie"
"21";"cake"
"22";"candy"
"23";"cheesecake"
"24";"creamcustard"
"25";"fruit"
"26";"glutenfree"
"27";"pasta"
"28";"greek"
"29";"spicy"
"30";"quick"
"31";"shrimp"
"32";"sauce"
"33";"rice"
"34";"starchside"
"35";"side"
"36";"main"
"37";"turkey"
